,id,url,primaryTitle,originalTitle,trailer,contentRating,startYear,releaseDate,interests,spokenLanguages,budget,grossWorldwide,genres,runtimeMinutes,averageRating,numVotes,company_1,company_2,company_3
61,tt0795461,https://www.imdb.com/title/tt0795461/,Scary Movie V,Scary Movie 5,https://www.youtube.com/watch?v=UTAxAVeUHog,PG-13,2013,2013-04-12,"['Parody', 'Comedy', 'Horror']","['en', 'es', 'la']",20000000.0,78378744.0,"['Comedy', 'Horror']",86,3.6,80131,Dimension Films,DZE,Brad Grey Pictures
62,tt1572311,https://www.imdb.com/title/tt1572311/,Tees Maar Khan,Tees Maar Khan,https://www.youtube.com/watch?v=PYmpVwrmKT8,Not Rated,2010,2010-12-24,"['Caper', 'Comedy', 'Crime']",['hi'],4200000.0,13681934.0,"['Comedy', 'Crime']",135,2.8,15169,Hari Om Entertainment Company,Three's Company Production,UTV Motion Pictures
63,tt0368226,https://www.imdb.com/title/tt0368226/,The Room,The Room,https://www.youtube.com/watch?v=KRAUPqK9Y7I,R,2003,2003-06-27,"['Tragedy', 'Drama']",['en'],6000000.0,5192088.0,['Drama'],99,3.6,97654,Wiseau-Films,,
64,tt21106646,https://www.imdb.com/title/tt21106646/,The Next 365 Days,The Next 365 Days,https://www.youtube.com/watch?v=iXdw5wYI4cY,TV-MA,2022,2022-08-19,"['Steamy Romance', 'Drama', 'Romance']","['pl', 'en', 'es']",,,"['Drama', 'Romance']",112,2.9,11600,Open Mind Production,Ekipa,
65,tt0295427,https://www.imdb.com/title/tt0295427/,The Master of Disguise,The Master of Disguise,https://www.youtube.com/watch?v=e7sfYC2o3-U,PG,2002,2002-08-02,"['Slapstick', 'Adventure', 'Comedy', 'Family', 'Fantasy']",['en'],16000000.0,43411001.0,"['Adventure', 'Comedy', 'Family']",80,3.4,28154,Revolution Studios,Happy Madison Productions,Out of the Blue... Entertainment
66,tt0400426,https://www.imdb.com/title/tt0400426/,Far Cry,Far Cry,https://www.youtube.com/watch?v=03ommmlfCNk,R,2008,2008-10-02,"['Action', 'Adventure', 'Sci-Fi']",['en'],30000000.0,783501.0,"['Action', 'Adventure', 'Sci-Fi']",95,3.2,15318,Boll Kino Beteiligungs GmbH & Co. KG,Far Cry Productions,Brightlight Pictures
67,tt0462244,https://www.imdb.com/title/tt0462244/,Daddy Day Camp,Daddy Day Camp,https://www.youtube.com/watch?v=fNibbOj7mOk,PG,2007,2007-08-08,"['Slapstick', 'Comedy', 'Family']",['en'],6000000.0,18197398.0,"['Comedy', 'Family']",93,3.2,18374,TriStar Pictures,Revolution Studios,Davis Entertainment
68,tt0065832,https://www.imdb.com/title/tt0065832/,Hercules in New York,Hercules in New York,https://www.youtube.com/watch?v=pvWySqI9uN4,G,1970,1975-02-20,"['Adventure', 'Comedy', 'Fantasy']",['en'],,,"['Adventure', 'Comedy', 'Fantasy']",92,3.3,20110,RAF Industries,,
69,tt0110857,https://www.imdb.com/title/tt0110857/,Police Academy: Mission to Moscow,Police Academy: Mission to Moscow,https://www.youtube.com/watch?v=DPjBOnC7z1s,PG,1994,1994-08-26,"['Parody', 'Slapstick', 'Comedy', 'Crime']","['en', 'ru']",6200000.0,126247.0,"['Comedy', 'Crime']",83,3.5,37240,Warner Bros.,,
70,tt0804452,https://www.imdb.com/title/tt0804452/,Bratz,Bratz,https://www.youtube.com/watch?v=tOPNt4yvskA,PG,2007,2007-08-03,"['Teen Comedy', 'Comedy', 'Family', 'Music']","['en', 'es']",20000000.0,26013153.0,"['Comedy', 'Family', 'Music']",110,3.1,25306,Crystal Sky Pictures,MGA Entertainment,Arad Productions
